"ID","Esame","Corso","Code"
"1","Acquedotti e fognature","06225","00011"
"2","Acquedotti e fognature","06221","00014"
"3","Acquisizione ed elaborazione numerica dei segnali","06224","00030"
"4","Advanced computational mechanics with applications to composite materials and structures","06221","00036"
"5","Advanced energy and propulsion systems","06223","00025"
"6","Advanced materials and manufacturing","06226","00045"
"7","Advanced materials and manufacturing","06223","00045"
"8","Advanced mathematics - complementi di matematica","06228","00001"
"9","Advanced methods for transportation system analysis and design","06221","00037"
"10","Aerodinamica degli autoveicoli","06223","00015"
"11","Algoritmi di ottimizzazione","06226","00026"
"12","Algoritmi e strutture dati","06127","00006"
"13","Analisi dei dati fisici in ingegneria","06125","00048"
"14","Analisi dei dati fisici in ingegneria","06121","00044"
"15","Analisi dei sistemi di trasporto","06221","00032"
"16","Analisi dei sistemi meccanici assistita da calcolatore","06123","00034"
"17","Analisi dei sistemi urbani e territoriali","06125","00013"
"18","Analisi matematica 1","06127","00112"
"19","Analisi matematica 2","06127","00113"
"20","Analisi matematica I","06601","00001"
"21","Analisi matematica II","06601","00013"
"22","Antenne","06224","00003"
"23","Antenne e collegamenti wireless","06127","00034"
"24","Applicazioni di trasmissione del calore","06223","00030"
"25","Applicazioni per e-health","06227","00050"
"26","Architettura dei calcolatori e sistemi operativi","06127","00111"
"27","Architettura e composizione architettonica I","06601","00005"
"28","Architettura e composizione architettonica II","06601","00016"
"29","Architettura e composizione architettonica III","06601","00021"
"30","Architettura tecnica","06121","00007"
"31","Architettura tecnica I","06601","00017"
"32","Architettura tecnica II","06601","00025"
"33","Artificial vision","06227","00045"
"34","Automazione","06227","00042"
"35","Automazione e gestione dei sistemi produttivi","06226","00009"
"36","Automazione e gestione dei sistemi produttivi","06223","00007"
"37","Azionamenti e impianti elettrici","06123","00042"
"38","Azionamenti e impianti elettrici","06126","00045"
"39","Basi di dati","06127","00007"
"40","Basi di dati e sistemi informativi","06126","00023"
"41","Big data e tecnologie semantiche","06227","00044"
"42","Biochemical and food plant design - impianti biochimici e dell'industria alimentare","06228","00032"
"43","Bioinformatica","06227","00047"
"44","Bonifica dei siti contaminati","06225","00010"
"45","Calcolatori Elettronici","06124","00054"
"46","Campi elettromagnetici (2  a - ii sem)","06124","00011"
"47","Campi elettromagnetici (3  a - i sem)","06124","00051"
"48","Cartografia numerica e gis","06125","00053"
"49","Catalizzatori nanostrutturati per l'energia e l'ambiente","06222","00026"
"50","Chimica","06125","00003"
"51","Chimica","06121","00003"
"52","Chimica","06122","00002"
"53","Chimica","06124","00029"
"54","Chimica","06123","00003"
"55","Chimica","06126","00003"
"56","Chimica e tecnologia del restauro e della conservazione dei materiali","06601","00056"
"57","Chimica e tecnologia del restauro e della conservazione dei materiali","06221","00044"
"58","Chimica industriale","06122","00017"
"59","Chimica industriale alimentare","06122","00024"
"60","Chimica organica","06122","00007"
"61","Circuiti e algoritmi per applicazioni industriali","06227","00033"
"62","Circuiti elettronici di potenza","06224","00004"
"63","Codifica e compressione dell'informazione","06227","00032"
"64","Cognitive robotics","06227","00056"
"65","Combustione","06222","00015"
"66","Compatibilita' elettromagnetica","06224","00032"
"67","Complementi di controlli automatici","06224","00010"
"68","Complementi di elettromagnetismo","06224","00017"
"69","Complementi di matematica","06222","00001"
"70","Complementi di termodinamica e reattoristica","06222","00005"
"71","Computazione naturale","06227","00049"
