"Aula","Lat","Lon","Piano","Edificio"
"107","40.77287594","14.79031205","secondo","E1"
"126","40.77333907","14.79056418","primo","E"
"129","40.77333907","14.79056418","primo","E"
"133","40.77253063","14.79114354","primo","E"
"134","40.77253063","14.79114354","primo","E"
"136","40.77253063","14.79114354","primo","E"
"137","40.77253063","14.79114354","primo","E"
"141","40.77253063","14.79114354","primo","E"
"21","40.77253063","14.79114354","terra","E"
"22","40.77253063","14.79114354","terra","E"
"23","40.77253063","14.79114354","terra","E"
"24","40.77253063","14.79114354","terra","E"
"A","40.77218938","14.79171216","terra","E2"
"B","40.77218938","14.79171216","terra","E2"
"C","40.77218938","14.79171216","terra","E2"
"CAD 102","40.77287594","14.79031205","primo","E1"
"D","40.77287594","14.79031205","terra","E1"
"E","40.77287594","14.79031205","terra","E1"
"F","40.77287594","14.79031205","terra","E1"
"G","40.77287594","14.79031205","terra","E1"
"H","40.77218938","14.79171216","primo","E2"
"I","40.77218938","14.79171216","primo","E2"
"Infografica","40.77287594","14.79031205","primo","E1"
"L","40.77218938","14.79171216","primo","E2"
"Lauree","40.77287594","14.79031205","-1","E1"
"M","40.77218938","14.79171216","primo","E2"
"MARONE","40.77287594","14.79031205","secondo","E1"
"Multimediale 1","40.77333907","14.79056418","primo","E"
"Multimediale 2","40.77333907","14.79056418","primo","E"
"N","40.77287594","14.79031205","primo","E1"
"O","40.77287594","14.79031205","terra","E1"
"108","40.77287594","14.79031205","secondo","E1"
"109","40.77287594","14.79031205","secondo","E1"
